"filename", "language", "Markdown", "XML", "MS SQL", "Java Properties", "Batch", "HTML", "Java", "comment", "blank", "total"
"d:\jsp\期末作业\VolunteerSystem\.idea\dataSources.xml", "XML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"d:\jsp\期末作业\VolunteerSystem\.idea\encodings.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\jsp\期末作业\VolunteerSystem\.idea\misc.xml", "XML", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"d:\jsp\期末作业\VolunteerSystem\.idea\sqldialects.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\jsp\期末作业\VolunteerSystem\.idea\vcs.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\jsp\期末作业\VolunteerSystem\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\jsp\期末作业\VolunteerSystem\README.md", "Markdown", 405, 0, 0, 0, 0, 0, 0, 0, 0, 405
"d:\jsp\期末作业\VolunteerSystem\mvnw.cmd", "Batch", 0, 0, 0, 0, 102, 0, 0, 51, 36, 189
"d:\jsp\期末作业\VolunteerSystem\pom.xml", "XML", 0, 51, 0, 0, 0, 0, 0, 2, 5, 58
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\AddProjectServlet.java", "Java", 0, 0, 0, 0, 0, 0, 81, 9, 15, 105
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\AdminLoginServlet.java", "Java", 0, 0, 0, 0, 0, 0, 38, 0, 4, 42
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\AdminProjectActionServlet.java", "Java", 0, 0, 0, 0, 0, 0, 107, 16, 18, 141
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\AdminProjectManageServlet.java", "Java", 0, 0, 0, 0, 0, 0, 56, 6, 10, 72
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\HelloServlet.java", "Java", 0, 0, 0, 0, 0, 0, 23, 1, 7, 31
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\JDBCUtil.java", "Java", 0, 0, 0, 0, 0, 0, 51, 22, 8, 81
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\LoginServlet.java", "Java", 0, 0, 0, 0, 0, 0, 38, 7, 6, 51
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\RegisterServlet.java", "Java", 0, 0, 0, 0, 0, 0, 46, 5, 8, 59
"d:\jsp\期末作业\VolunteerSystem\src\main\java\com\example\volunteersystem\SignupServlet.java", "Java", 0, 0, 0, 0, 0, 0, 99, 11, 16, 126
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\WEB-INF\web.xml", "XML", 0, 33, 0, 0, 0, 0, 0, 1, 4, 38
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_dashboard.jsp", "HTML", 0, 0, 0, 0, 0, 114, 0, 0, 0, 114
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_login.jsp", "HTML", 0, 0, 0, 0, 0, 167, 0, 0, 22, 189
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_logout.jsp", "HTML", 0, 0, 0, 0, 0, 25, 0, 1, 3, 29
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_project_action.jsp", "HTML", 0, 0, 0, 0, 0, 78, 0, 0, 7, 85
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_project_create.jsp", "HTML", 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_project_manage.jsp", "HTML", 0, 0, 0, 0, 0, 198, 0, 7, 0, 205
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_report.jsp", "HTML", 0, 0, 0, 0, 0, 125, 0, 0, 0, 125
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_signup_action.jsp", "HTML", 0, 0, 0, 0, 0, 43, 0, 0, 4, 47
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_signup_manage.jsp", "HTML", 0, 0, 0, 0, 0, 133, 0, 0, 0, 133
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_user_action.jsp", "HTML", 0, 0, 0, 0, 0, 76, 0, 0, 5, 81
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\admin_user_manage.jsp", "HTML", 0, 0, 0, 0, 0, 170, 0, 1, 0, 171
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\common\navbar.jsp", "HTML", 0, 0, 0, 0, 0, 77, 0, 0, 1, 78
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\error.jsp", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\index.jsp", "HTML", 0, 0, 0, 0, 0, 410, 0, 7, 52, 469
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\join_project.jsp", "HTML", 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\login.jsp", "HTML", 0, 0, 0, 0, 0, 154, 0, 0, 16, 170
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\logout.jsp", "HTML", 0, 0, 0, 0, 0, 107, 0, 0, 14, 121
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\messages.jsp", "HTML", 0, 0, 0, 0, 0, 207, 0, 0, 26, 233
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\points_mall.jsp", "HTML", 0, 0, 0, 0, 0, 259, 0, 0, 31, 290
"d:\jsp\期末作业\VolunteerSystem\src\main\webapp\project_list.jsp", "HTML", 0, 0, 0, 0, 0, 203, 0, 1, 23, 227
